year,county,population
1990,STATE,6628637
1980,STATE,5881766
2000,STATE,8046668
1990,Beaufort,42283
2000,Beaufort,44958
1990,Burke,75740
1980,Camden,5829
2000,Camden,6885
2000,Caswell,23501
2000,Chatham,49326
1980,Cherokee,18933
2000,Chowan,14150
1980,Clay,6619
1990,Clay,7155
2000,Clay,8775
1990,Cleveland,84713
1980,Dare,13377
1990,Davidson,126677
1990,Davie,27859
1980,Edgecombe,55988
1990,Forsyth,265878
2000,Franklin,47260
2000,Granville,48498
1980,Harnett,59570
1990,Jackson,26846
1980,Lee,36718
2000,Lee,49170
1980,Lenoir,59819
1990,Macon,23499
2000,Macon,29806
1990,Martin,25078
2000,McDowell,42151
2000,Mecklenburg,695370
1990,Nash,76677
2000,Alamance,130800
1990,Alexander,27544
2000,Pasquotank,34897
1990,Anson,23474
2000,Polk,18324
2000,Brunswick,73141
1990,Robeson,105170
2000,Burke,89145
2000,Caldwell,77708
1990,Rowan,110605
1980,Alamance,99319
1990,Sampson,47297
1980,Alleghany,9587
1980,Stanly,48517
1980,Catawba,105208
2000,Catawba,141686
1980,Union,70436
1980,Vance,36748
2000,Columbus,54749
1980,Buncombe,160897
1980,Cumberland,247160
1980,Wilson,63132
2000,Buncombe,206310
1990,Cumberland,274713
1990,Yadkin,30488
1990,Currituck,13736
1990,Yancey,15419
1990,Cabarrus,98935
1980,Davie,24599
2000,Forsyth,306063
1990,Chowan,13506
2000,Gaston,190336
1980,Graham,7217
1980,Davidson,113162
1990,Greene,15384
1980,Haywood,46495
2000,Duplin,49063
1990,Hoke,22856
2000,Hoke,33650
1990,Gaston,175093
1980,Gates,8875
1990,Hyde,5411
2000,Hyde,5826
1990,Johnston,81306
1980,Jones,9705
1990,Halifax,55516
2000,Lenoir,59619
1990,Lincoln,50319
2000,Harnett,91085
2000,Haywood,54033
1980,Alexander,24999
2000,Henderson,89193
2000,Alexander,33603
1980,Hertford,23368
1980,Anson,25649
1980,Montgomery,22469
2000,Ashe,24384
1990,Northampton,20798
1990,Lee,41370
1980,Bladen,30491
1990,Onslow,149838
2000,Bladen,32278
1980,Orange,77055
1980,Cabarrus,85895
1980,Pender,22262
1980,McDowell,35135
2000,Pender,41082
1990,Caldwell,70709
1980,Perquimans,9486
1990,Camden,5904
1980,Carteret,41092
1980,Randolph,91300
2000,Randolph,130471
1990,Richmond,44518
1990,Moore,59000
1980,Nash,67153
1990,Catawba,118412
2000,Nash,87385
1980,New Hanover,103471
1980,Stokes,33086
2000,Northampton,22086
1980,Surry,59449
1990,Swain,11268
1980,Cleveland,83435
2000,Onslow,150355
1990,Ashe,22209
1990,Transylvania,25520
2000,Cleveland,96258
2000,Orange,115531
2000,Bertie,19757
1990,Craven,81613
2000,Craven,91523
1980,Person,29164
2000,Cumberland,302960
1980,Currituck,11089
2000,Person,35623
1990,Buncombe,174778
1980,Warren,16232
1980,Burke,72504
2000,Davidson,147250
1980,Polk,12984
1990,Watauga,36952
1980,Wayne,97054
2000,Richmond,46557
1980,Gaston,162568
2000,Wayne,113329
2000,Carteret,59383
1990,Gates,9305
2000,Rockingham,91928
2000,Graham,7993
2000,Rutherford,62901
1990,Harnett,67833
1990,Cherokee,20170
1990,Haywood,46942
2000,Swain,12973
2000,Transylvania,29334
2000,Jackson,33121
2000,Currituck,18190
2000,Dare,29967
1990,Duplin,39995
2000,Madison,19635
2000,Gates,10516
1980,Yadkin,28439
1980,Greene,16117
1980,Guilford,317154
1990,Guilford,347420
2000,Moore,74768
1980,Northampton,22195
1980,Hoke,20383
1990,Orange,93851
1980,Iredell,82538
1990,Pender,28855
2000,Jones,10398
1990,Person,30180
1990,Polk,14416
1990,Randolph,106546
1980,Richmond,45161
1980,Robeson,101610
1980,Rockingham,83426
1980,Rowan,99186
1980,Sampson,49687
1990,Scotland,33763
