"Annual County Population Totals, 2010-2019",,,,,,,,,,
,,,,,,,,,,
,Estimates,,,,,,,,,Projections
County,July 2010,July 2011,July 2012,July 2013,July 2014,July 2015,July 2016,July 2017,July 2018,July 2019
Alamance,151440,151961,152545,153274,155070,156554,159836,163045,166638,170483
Alexander,37235,37158,37323,37414,37597,37550,37908,38070,38303,38530
Alleghany,11139,11068,10993,11065,11180,11237,11297,11378,11422,11466
Anson,26852,26699,26597,26288,26304,26035,25644,25490,25288,25290
Ashe,27228,27107,27170,27149,27203,26989,27072,27297,27606,27861
Avery,17765,17910,17810,17844,17871,17764,17857,17970,18057,18022
Beaufort,47807,47864,47790,47667,47585,47612,47473,47458,47475,47480
Bertie,21245,20937,20574,20463,20454,20409,19798,19780,19709,19636
Bladen,35192,35026,35103,35043,35040,34898,34664,34522,34566,34497
Brunswick,108065,110148,112409,115284,119050,122957,127152,131644,137103,142088
Buncombe,238737,241798,244725,247951,250552,253775,257259,259082,261065,264056
Burke,90575,90203,89619,89151,89151,89321,90123,91077,91402,91810
Cabarrus,178535,180684,183253,186067,190218,194982,200230,204865,209150,212917
Caldwell,83021,82937,82695,82605,82598,82765,83143,83227,83291,83417
Camden,10009,10035,9966,10075,10210,10214,10290,10352,10490,10611
Carteret,66698,67681,68434,69235,69497,69742,69871,70247,70696,71163
Caswell,23753,23723,23487,23688,23482,23491,23527,23480,23679,23664
Catawba,154766,155038,155692,155582,155977,156197,156774,157424,158483,159494
Chatham,63840,64396,65152,66117,67373,69228,70746,72570,74264,75994
Cherokee,27431,27468,27414,27443,27517,27729,28544,28879,29275,29630
Chowan,14737,14822,14689,14770,14572,14431,14278,14204,14173,14114
Clay,10607,10699,10709,10831,10830,10969,11200,11457,11658,11860
Cleveland,97919,97706,97523,97246,97646,97755,98069,98393,99140,99776
Columbus,57975,58019,57989,57726,57504,57188,56842,56699,56424,56290
Craven,104176,104523,105170,104213,104069,103111,103184,103426,103594,103779
Cumberland,327195,330874,330007,332224,329360,329046,330048,328529,331764,332455
Currituck,23674,23973,24118,24414,24986,25538,26022,26673,27099,27526
Dare,33982,34256,34759,35136,35377,35756,36167,36680,36997,37290
Davidson,162861,163044,162994,163498,163869,164418,165613,166591,168093,169468
Davie,41255,41276,41276,41403,41345,41625,42142,42635,42976,43430
Duplin,58650,59355,59690,59807,59911,59769,59837,59647,59772,59736
Durham,271354,275977,281509,286383,292305,296917,302879,306465,311163,315741
Edgecombe,56626,56213,55975,55545,55332,54268,53458,53159,52724,52586
Forsyth,351393,354384,357490,359892,363212,365378,369029,372845,376309,379693
Franklin,60818,60861,61618,62473,63104,64069,65260,66577,68012,69112
Gaston,206105,207339,208317,209364,210195,212197,215269,218445,221006,222744
Gates,12165,12045,12104,11882,11943,11819,11984,12021,12094,12132
Graham,8870,8858,8862,8860,8820,8751,8830,8752,8686,8687
Granville,57665,57730,57686,57564,57819,58226,59048,60112,60700,61406
Greene,21259,21515,21239,20960,21101,21016,21274,21305,21024,21050
Guilford,489589,495082,501431,507000,511636,516493,523934,528041,534346,539666
Halifax,54474,54257,53977,53447,52905,52212,52116,51973,51552,51194
Harnett,115742,118597,121317,123428,125600,127038,129434,131042,133172,135239
Haywood,58935,59165,59150,59545,59810,60451,61534,62488,62839,63328
Henderson,106887,107244,107740,108752,110485,111854,113889,115384,116857,118312
Hertford,24763,24743,24548,24623,24591,24508,24238,24054,24093,24037
Hoke,47496,49142,50000,50581,50813,51735,52138,53331,53992,54842
Hyde,5811,5799,5708,5745,5670,5571,5570,5442,5198,5181
Iredell,159768,160988,162819,164834,166862,169776,173088,176089,178730,181380
Jackson,40357,40383,40706,40826,41131,41590,43003,43544,43819,44335
Johnston,169681,172109,174207,176620,179734,183619,188749,193902,199790,205951
Jones,10143,10330,10410,10355,10245,10205,10123,10123,10196,10196
Lee,57886,58294,58820,59028,58930,58711,59181,59810,60878,61690
Lenoir,59492,59563,59280,58853,58557,58225,57653,57175,56856,56372
Lincoln,78104,78321,78757,79217,79892,80936,81884,83052,84751,86453
Macon,33958,33969,34050,34184,34529,34803,35117,35614,36101,36498
Madison,20779,20916,21216,21415,21619,21739,22039,22215,22361,22602
Martin,24501,24101,23806,23583,23565,23544,23453,23303,23264,23150
McDowell,45098,45139,45267,45284,45329,45447,45531,46099,46373,46684
Mecklenburg,923258,940887,961255,990504,1010400,1033682,1054613,1073159,1088350,1108107
Mitchell,15507,15335,15349,15328,15258,15187,15145,15167,15223,15239
Montgomery,27731,27826,27796,27702,27668,27744,27702,27733,27621,27666
Moore,88587,89291,90560,91721,92903,94159,95812,97625,99390,101180
Nash,95789,95763,95212,94504,94320,94162,94302,94910,95327,95647
New Hanover,203286,206299,209734,213466,216910,219602,225070,229118,232248,235560
Northampton,22039,21900,21502,21267,21201,21143,20895,20908,20618,20527
Onslow,186889,186457,191183,193505,192684,193966,193505,196535,198740,201548
Orange,133986,135287,138300,139427,140103,140678,142148,142597,145574,147093
Pamlico,13110,13221,13138,13009,13118,13122,13278,13245,13359,13266
Pasquotank,40629,40131,40018,39257,39459,39554,39894,39780,39790,39731
Pender,52416,53328,54070,55194,56320,57761,59258,60771,62168,63406
Perquimans,13481,13588,13733,13811,13720,13701,13654,13678,13652,13639
Person,39413,39460,39115,39138,39247,39538,39753,39882,40208,40370
Pitt,168853,170298,172509,173875,174211,175475,176060,177705,178440,179731
Polk,20481,20358,20309,20589,20818,20896,21127,21303,21535,21696
Randolph,141986,141929,142419,142398,142749,142816,143444,143620,144085,144914
Richmond,46633,46610,46146,45924,45439,45353,44957,45155,45199,45079
Robeson,134496,134578,134399,134138,133659,133493,132787,132041,131600,131056
Rockingham,93658,93276,92800,92210,92441,92055,91936,91447,91746,91788
Rowan,138368,137841,137765,138118,138897,139639,140557,141445,141802,142643
Rutherford,67737,67928,67920,67705,67545,67627,67679,68279,68423,68908
Sampson,63536,63694,63967,64152,64160,63900,63661,63872,64087,64284
Scotland,36063,36401,36262,36079,35971,35718,35842,35843,35744,35732
Stanly,60576,60605,60363,60586,61026,61212,61696,62736,63328,63727
Stokes,47349,47234,46995,46648,46723,46557,46581,46617,46472,46420
Surry,73769,73536,73472,73014,73432,72535,72732,73047,73232,73232
Swain,14011,14188,14423,14538,14785,14867,14729,14713,14442,14275
Transylvania,33087,33007,33020,33153,33400,33725,34074,34495,35115,35484
Tyrrell,4415,4350,4135,4138,4144,4219,4133,4304,4260,4259
Union,202110,204332,207438,210937,215312,219243,223663,228061,232465,237287
Vance,45301,45512,45478,44987,44989,45006,44987,45144,45764,45969
Wake,906882,924330,944622,963856,983918,1006139,1028509,1049943,1070197,1089579
Warren,20981,21043,20828,20618,20642,20603,20287,20249,20066,20022
Washington,13135,13027,12767,12799,12614,12527,12384,12319,12153,12071
Watauga,50967,51742,52439,52664,52963,53780,55142,56294,57067,57899
Wayne,122900,124058,125169,125450,125646,125217,125120,124086,124703,125825
Wilkes,69270,69196,69372,69286,69413,69446,69844,69795,69913,70200
Wilson,81285,81273,81314,80929,80866,81217,81483,81597,81949,82282
Yadkin,38434,38343,38269,38160,37850,37730,37828,38140,38100,38196
Yancey,17806,17840,17874,17899,17888,17932,18093,18289,18455,18623
STATE,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10389148,10508254
"Source: North Carolina OSBM, Standard Population Estimates, Vintage 2018 and Population Projections, Vintage 2019",,,,,,,,,,
